path,category,source_of_truth,action,risk,notes
.gitignore,shared-manual-merge,manual-union,merge backend ignores with frontend build-artifact cleanup,medium,"Preserve backend additions and remove generated frontend tsbuildinfo artifacts."
.nvmrc,frontend-authoritative,frontend-polish,take_frontend,low,"Frontend branch pins Node runtime for Vite build."
CHANGELOG.md,backend-authoritative,react-new-base-backend,keep_backend,low,"Backend release notes changed only in backend branch."
README.md,shared-manual-merge,manual-union,merge setup/docs text,medium,"Keep backend project-planner updates and add React/Vite run guidance from frontend branch where relevant."
SETUP.md,shared-manual-merge,manual-union,merge setup/docs text,medium,"Keep backend integration instructions and add frontend Node/Vite requirements."
backend/app/project_planner/budget.py,backend-authoritative,react-new-base-backend,keep_backend,high,"Backend budget logic is canonical; cover with backend project planner tests."
backend/app/project_planner/budget_catalog.py,backend-authoritative,react-new-base-backend,keep_backend,high,"New backend budget catalog module; cover with project planner budget/reference tests."
backend/app/project_planner/constraint_guardrails.py,backend-authoritative,react-new-base-backend,keep_backend,high,"Backend guardrails are canonical; cover with constraint tests."
backend/app/project_planner/domain_playbooks.py,backend-authoritative,react-new-base-backend,keep_backend,high,"Backend domain playbook logic is canonical; cover with reference/domain tests."
backend/app/project_planner/generator.py,backend-authoritative,react-new-base-backend,keep_backend,high,"Backend generator contract is canonical; frontend adapts to it."
backend/app/project_planner/llm_normalizer.py,backend-authoritative,react-new-base-backend,keep_backend,high,"Backend LLM normalization is canonical; cover with backend planner tests."
backend/app/project_planner/milestone_guardrails.py,backend-authoritative,react-new-base-backend,keep_backend,high,"Backend milestone guardrails are canonical; cover with milestone tests."
backend/app/project_planner/mock_generator.py,backend-authoritative,react-new-base-backend,keep_backend,medium,"Backend fallback/mock generation is canonical; cover with planner tests."
backend/app/project_planner/postprocess.py,backend-authoritative,react-new-base-backend,keep_backend,high,"Backend post-processing and validation are canonical."
backend/app/project_planner/pptx_export.py,backend-authoritative,react-new-base-backend,keep_backend,medium,"New backend PPTX export should remain available to React UI."
backend/app/project_planner/prompts.py,backend-authoritative,react-new-base-backend,keep_backend,high,"AI/project planning prompts remain backend-authoritative."
backend/app/project_planner/reference_pack_store.py,backend-authoritative,react-new-base-backend,keep_backend,high,"Reference pack persistence/API is canonical backend functionality."
backend/app/project_planner/reference_packs.py,backend-authoritative,react-new-base-backend,keep_backend,high,"Reference pack parsing/validation is canonical backend functionality."
backend/app/project_planner/resources/__init__.py,backend-authoritative,react-new-base-backend,keep_backend,low,"Backend package resource marker."
backend/app/project_planner/resources/budget_catalog_v1.json,backend-authoritative,react-new-base-backend,keep_backend,high,"Backend budget catalog resource must not be removed."
backend/app/project_planner/resources/domain_playbooks_v1.json,backend-authoritative,react-new-base-backend,keep_backend,high,"Backend domain playbook resource must not be removed."
backend/app/project_planner/router.py,backend-authoritative,react-new-base-backend,keep_backend,high,"Backend API routes are source of truth; React client must match them."
backend/app/project_planner/schemas.py,backend-authoritative,react-new-base-backend,keep_backend,high,"Backend API schemas are source of truth; frontend types adapt to them."
backend/app/project_planner/service.py,backend-authoritative,react-new-base-backend,keep_backend,high,"Backend service flow is canonical."
backend/app/project_planner/validators.py,backend-authoritative,react-new-base-backend,keep_backend,high,"Backend validators are canonical."
backend/app/frontend.py,shared-manual-merge,manual-integration,keep_spa_fallback_and_localize_missing_build_page,medium,"Preserve backend SPA route allowlist/static serving and keep the missing-build fallback user-facing."
backend/requirements.txt,backend-authoritative,react-new-base-backend,keep_backend,medium,"Backend dependency graph remains source of truth."
backend/tests/test_project_planner.py,backend-authoritative,react-new-base-backend,keep_backend,high,"Do not drop backend planner coverage."
backend/tests/test_project_planner_constraints.py,backend-authoritative,react-new-base-backend,keep_backend,high,"New constraint coverage from backend branch."
backend/tests/test_project_planner_milestones.py,backend-authoritative,react-new-base-backend,keep_backend,high,"New milestone coverage from backend branch."
backend/tests/test_project_planner_pptx_export.py,backend-authoritative,react-new-base-backend,keep_backend,medium,"New PPTX export coverage from backend branch."
backend/tests/test_project_planner_reference_pack_api.py,backend-authoritative,react-new-base-backend,keep_backend,high,"New reference-pack API coverage from backend branch."
backend/tests/test_project_planner_reference_pack_store.py,backend-authoritative,react-new-base-backend,keep_backend,high,"New reference-pack store coverage from backend branch."
backend/tests/test_project_planner_reference_packs.py,backend-authoritative,react-new-base-backend,keep_backend,high,"New reference-pack validation coverage from backend branch."
docs/DECISIONS.md,backend-authoritative,react-new-base-backend,keep_backend,low,"Backend architecture decisions changed only in backend branch."
docs/GIGACHAT_INTEGRATION.md,backend-authoritative,react-new-base-backend,keep_backend,low,"Backend integration notes changed only in backend branch."
docs/PROJECT_OVERVIEW.md,backend-authoritative,react-new-base-backend,keep_backend,low,"Backend overview changed only in backend branch."
scripts/project_planner_reference_pack.py,backend-authoritative,react-new-base-backend,keep_backend,medium,"Backend helper script for reference packs."
backend/app/static/base/typography.css,frontend-authoritative,frontend-polish,take_frontend,medium,"UI styling polish from frontend branch."
backend/app/static/base/variables.css,frontend-authoritative,frontend-polish,take_frontend,medium,"UI theme variables from frontend branch."
backend/app/static/components/app-pages.css,frontend-authoritative,frontend-polish,take_frontend,medium,"New UI page styling from frontend branch."
backend/app/static/components/buttons.css,frontend-authoritative,frontend-polish,take_frontend,medium,"UI component styling from frontend branch."
backend/app/static/components/cards.css,frontend-authoritative,frontend-polish,take_frontend,medium,"UI component styling from frontend branch."
backend/app/static/components/charts.css,frontend-authoritative,frontend-polish,take_frontend,medium,"UI component styling from frontend branch."
backend/app/static/components/navigation.css,frontend-authoritative,frontend-polish,take_frontend,medium,"UI component styling from frontend branch."
backend/app/static/components/project-planner.css,frontend-authoritative,frontend-polish,take_frontend,medium,"Project planner UI styling from frontend branch."
backend/app/static/components/tables.css,frontend-authoritative,frontend-polish,take_frontend,medium,"UI component styling from frontend branch."
backend/app/static/components/timer.css,frontend-authoritative,frontend-polish,take_frontend,medium,"UI component styling from frontend branch."
backend/app/static/layout/shell.css,frontend-authoritative,frontend-polish,take_frontend,medium,"UI shell styling from frontend branch."
backend/app/static/main.css,frontend-authoritative,frontend-polish,take_frontend,medium,"Main UI stylesheet from frontend branch."
backend/app/static/utilities/helpers.css,frontend-authoritative,frontend-polish,take_frontend,medium,"UI utility styling from frontend branch."
backend/app/static/utilities/kpi.css,frontend-authoritative,frontend-polish,take_frontend,medium,"UI KPI styling from frontend branch."
backend/app/static/vibe-team-logo-dark.svg,frontend-authoritative,frontend-polish,take_frontend,low,"Additional frontend visual asset."
frontend/index.html,frontend-authoritative,frontend-polish,take_frontend,medium,"React app shell from frontend branch."
frontend/package.json,frontend-authoritative,frontend-polish,take_frontend,medium,"Frontend branch adds Node/npm engine contract and typecheck script."
frontend/package-lock.json,frontend-authoritative,frontend-polish,take_frontend,medium,"Frontend lockfile must match package.json."
frontend/src/App.tsx,frontend-authoritative,frontend-polish,take_frontend,medium,"React app routing/shell polish from frontend branch."
frontend/src/api/projectPlanner.ts,backend-authoritative,react-new-base-backend,keep_backend,high,"Backend branch added canonical project-planner endpoints; preserve API client additions."
frontend/src/components/InfoHint.tsx,frontend-authoritative,frontend-polish,take_frontend,low,"New React helper component used by polished UI."
frontend/src/pages/ProjectPlannerPage.tsx,shared-manual-merge,manual-three-way,merge backend API features with frontend UI polish,high,"Preserve backend reference-pack/PPTX functionality and add frontend InfoHint/polish changes."
frontend/src/types/projectPlanner.ts,backend-authoritative,react-new-base-backend,keep_backend,high,"Backend branch added canonical project-planner types for reference packs/PPTX."
frontend/tsconfig.json,frontend-authoritative,frontend-polish,take_frontend,low,"Frontend TS config from UI branch."
frontend/tsconfig.node.json,frontend-authoritative,frontend-polish,take_frontend,low,"Frontend node TS config from UI branch."
frontend/tsconfig.node.tsbuildinfo,frontend-authoritative,frontend-polish,delete_generated_artifact,low,"Generated TypeScript build artifact should stay out of repository."
frontend/tsconfig.tsbuildinfo,frontend-authoritative,frontend-polish,delete_generated_artifact,low,"Generated TypeScript build artifact should stay out of repository."
frontend/vite.config.ts,shared-manual-merge,manual-integration,enable_vite_manifest,medium,"Keep backend-compatible Vite proxy config and enable production manifest for hashed asset auditing."
frontend/vite.config.d.ts,frontend-authoritative,frontend-polish,delete_generated_artifact,low,"Generated declaration artifact should stay out of repository."
frontend/vite.config.js,frontend-authoritative,frontend-polish,delete_generated_artifact,low,"Generated JS artifact should stay out of repository."
